"HLTH_PB","GEO","UNIT","LEV_LIMIT","ISCED11","TIME","SEX","AGE","Value","Flag and Footnotes"
"Total","Portugal","Percentage","None","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","56.4",""
"Total","Portugal","Percentage","None","All ISCED 2011 levels ","2014","Males","65 years or over","37.0",""
"Total","Portugal","Percentage","None","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","85.0",""
"Total","Portugal","Percentage","None","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","82.4",""
"Total","Portugal","Percentage","None","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","75.7",""
"Total","Portugal","Percentage","None","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","46.3",""
"Total","Portugal","Percentage","None","All ISCED 2011 levels ","2014","Females","65 years or over","26.4",""
"Total","Romania","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","5.8",""
"Total","Romania","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","9.4",""
"Total","Romania","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","12.2",""
"Total","Romania","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","30.4",""
"Total","Romania","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","65 years or over","47.5",""
"Total","Romania","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","6.2",""
"Total","Romania","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","8.3",""
"Total","Romania","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","14.7",""
"Total","Romania","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","37.2",""
"Total","Romania","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","65 years or over","47.1",""
"Total","Romania","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","6.8",""
"Total","Romania","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","10.4",""
"Total","Romania","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","13.6",""
"Total","Romania","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","35.6",""
"Total","Romania","Percentage","Limited","All ISCED 2011 levels ","2014","Males","65 years or over","77.1",""
"Total","Romania","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","7.4",""
"Total","Romania","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","9.0",""
"Total","Romania","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","16.0",""
"Total","Romania","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","44.2",""
"Total","Romania","Percentage","Limited","All ISCED 2011 levels ","2014","Females","65 years or over","83.3",""
"Total","Romania","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","1.0",""
"Total","Romania","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","1.0",""
"Total","Romania","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","1.4",""
"Total","Romania","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","5.1",""
"Total","Romania","Percentage","Severe","All ISCED 2011 levels ","2014","Males","65 years or over","29.6",""
"Total","Romania","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","1.2",""
"Total","Romania","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","0.7",""
"Total","Romania","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","1.3",""
"Total","Romania","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","7.0",""
"Total","Romania","Percentage","Severe","All ISCED 2011 levels ","2014","Females","65 years or over","36.2",""
"Total","Romania","Percentage","None","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","93.2",""
"Total","Romania","Percentage","None","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","89.6",""
"Total","Romania","Percentage","None","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","86.4",""
"Total","Romania","Percentage","None","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","64.4",""
"Total","Romania","Percentage","None","All ISCED 2011 levels ","2014","Males","65 years or over","22.9",""
"Total","Romania","Percentage","None","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","92.6",""
"Total","Romania","Percentage","None","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","91.0",""
"Total","Romania","Percentage","None","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","84.0",""
"Total","Romania","Percentage","None","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","55.8",""
"Total","Romania","Percentage","None","All ISCED 2011 levels ","2014","Females","65 years or over","16.7",""
"Total","Slovenia","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","25.2",""
"Total","Slovenia","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","21.8",""
"Total","Slovenia","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","33.4",""
"Total","Slovenia","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","48.1",""
"Total","Slovenia","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","65 years or over","43.1",""
"Total","Slovenia","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","35.3",""
"Total","Slovenia","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","32.3",""
"Total","Slovenia","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","30.8",""
"Total","Slovenia","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","45.2",""
"Total","Slovenia","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","65 years or over","37.7",""
"Total","Slovenia","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","26.8",""
"Total","Slovenia","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","24.1",""
"Total","Slovenia","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","37.5",""
"Total","Slovenia","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","58.3",""
"Total","Slovenia","Percentage","Limited","All ISCED 2011 levels ","2014","Males","65 years or over","76.0",""
"Total","Slovenia","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","37.3",""
"Total","Slovenia","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","34.2",""
"Total","Slovenia","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","33.7",""
"Total","Slovenia","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","55.0",""
"Total","Slovenia","Percentage","Limited","All ISCED 2011 levels ","2014","Females","65 years or over","78.6",""
"Total","Slovenia","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","1.7",""
"Total","Slovenia","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","2.3",""
"Total","Slovenia","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","4.1",""
"Total","Slovenia","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","10.2",""
"Total","Slovenia","Percentage","Severe","All ISCED 2011 levels ","2014","Males","65 years or over","32.8",""
"Total","Slovenia","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","2.0",""
"Total","Slovenia","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","1.9",""
"Total","Slovenia","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","2.9",""
"Total","Slovenia","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","9.8",""
"Total","Slovenia","Percentage","Severe","All ISCED 2011 levels ","2014","Females","65 years or over","40.9",""
"Total","Slovenia","Percentage","None","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","73.2",""
"Total","Slovenia","Percentage","None","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","75.9",""
"Total","Slovenia","Percentage","None","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","62.5",""
"Total","Slovenia","Percentage","None","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","41.7",""
"Total","Slovenia","Percentage","None","All ISCED 2011 levels ","2014","Males","65 years or over","24.0",""
"Total","Slovenia","Percentage","None","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","62.7",""
"Total","Slovenia","Percentage","None","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","65.8",""
"Total","Slovenia","Percentage","None","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","66.3",""
"Total","Slovenia","Percentage","None","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","45.0",""
"Total","Slovenia","Percentage","None","All ISCED 2011 levels ","2014","Females","65 years or over","21.4",""
"Total","Slovakia","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","6.4",""
"Total","Slovakia","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","9.3",""
"Total","Slovakia","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","10.6",""
"Total","Slovakia","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","31.9",""
"Total","Slovakia","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","65 years or over","47.8",""
"Total","Slovakia","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","7.2",""
"Total","Slovakia","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","12.5",""
"Total","Slovakia","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","15.8",""
"Total","Slovakia","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","39.7",""
"Total","Slovakia","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","65 years or over","49.6",""
"Total","Slovakia","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","8.3",""
"Total","Slovakia","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","9.8",""
"Total","Slovakia","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","12.6",""
"Total","Slovakia","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","39.0",""
"Total","Slovakia","Percentage","Limited","All ISCED 2011 levels ","2014","Males","65 years or over","75.1",""
"Total","Slovakia","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","7.5",""
"Total","Slovakia","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","13.8",""
"Total","Slovakia","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","17.5",""
"Total","Slovakia","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","47.2",""
"Total","Slovakia","Percentage","Limited","All ISCED 2011 levels ","2014","Females","65 years or over","78.8",""
"Total","Slovakia","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","1.9",""
"Total","Slovakia","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","0.5",""
"Total","Slovakia","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","2.0",""
"Total","Slovakia","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","7.1",""
"Total","Slovakia","Percentage","Severe","All ISCED 2011 levels ","2014","Males","65 years or over","27.3",""
"Total","Slovakia","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","0.3",""
"Total","Slovakia","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","1.4",""
"Total","Slovakia","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","1.7",""
"Total","Slovakia","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","7.5",""
"Total","Slovakia","Percentage","Severe","All ISCED 2011 levels ","2014","Females","65 years or over","29.2",""
"Total","Slovakia","Percentage","None","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","91.7",""
"Total","Slovakia","Percentage","None","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","90.2",""
"Total","Slovakia","Percentage","None","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","87.4",""
"Total","Slovakia","Percentage","None","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","61.0",""
"Total","Slovakia","Percentage","None","All ISCED 2011 levels ","2014","Males","65 years or over","24.9",""
"Total","Slovakia","Percentage","None","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","92.5",""
"Total","Slovakia","Percentage","None","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","86.2",""
"Total","Slovakia","Percentage","None","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","82.5",""
"Total","Slovakia","Percentage","None","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","52.8",""
"Total","Slovakia","Percentage","None","All ISCED 2011 levels ","2014","Females","65 years or over","21.2",""
"Total","Finland","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","37.5",""
"Total","Finland","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","41.6",""
"Total","Finland","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","44.7",""
"Total","Finland","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","53.9",""
"Total","Finland","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","65 years or over","49.8",""
"Total","Finland","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","48.5",""
"Total","Finland","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","41.9",""
"Total","Finland","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","47.2",""
"Total","Finland","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","58.2",""
"Total","Finland","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","65 years or over","47.7",""
"Total","Finland","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","39.8",""
"Total","Finland","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","45.3",""
"Total","Finland","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","49.4",""
"Total","Finland","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","66.5",""
"Total","Finland","Percentage","Limited","All ISCED 2011 levels ","2014","Males","65 years or over","73.2",""
"Total","Finland","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","52.5",""
"Total","Finland","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","45.5",""
"Total","Finland","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","52.3",""
"Total","Finland","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","67.9",""
"Total","Finland","Percentage","Limited","All ISCED 2011 levels ","2014","Females","65 years or over","73.3",""
"Total","Finland","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","2.3",""
"Total","Finland","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","3.7",""
"Total","Finland","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","4.7",""
"Total","Finland","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","12.6",""
"Total","Finland","Percentage","Severe","All ISCED 2011 levels ","2014","Males","65 years or over","23.5",""
"Total","Finland","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","3.9",""
"Total","Finland","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","3.7",""
"Total","Finland","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","5.2",""
"Total","Finland","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","9.7",""
"Total","Finland","Percentage","Severe","All ISCED 2011 levels ","2014","Females","65 years or over","25.5",""
"Total","Finland","Percentage","None","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","60.2",""
"Total","Finland","Percentage","None","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","54.7",""
"Total","Finland","Percentage","None","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","50.6",""
"Total","Finland","Percentage","None","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","33.5",""
"Total","Finland","Percentage","None","All ISCED 2011 levels ","2014","Males","65 years or over","26.8",""
"Total","Finland","Percentage","None","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","47.5",""
"Total","Finland","Percentage","None","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","54.5",""
"Total","Finland","Percentage","None","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","47.7",""
"Total","Finland","Percentage","None","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","32.1",""
"Total","Finland","Percentage","None","All ISCED 2011 levels ","2014","Females","65 years or over","26.7",""
"Total","Sweden","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","15.9",""
"Total","Sweden","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","19.4",""
"Total","Sweden","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","22.0",""
"Total","Sweden","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","35.8",""
"Total","Sweden","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","65 years or over","44.0",""
"Total","Sweden","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","19.7",""
"Total","Sweden","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","20.2",""
"Total","Sweden","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","27.0",""
"Total","Sweden","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","37.0",""
"Total","Sweden","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","65 years or over","41.7",""
"Total","Sweden","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","19.0",""
"Total","Sweden","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","22.5",""
"Total","Sweden","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","26.3",""
"Total","Sweden","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","43.2",""
"Total","Sweden","Percentage","Limited","All ISCED 2011 levels ","2014","Males","65 years or over","66.9",""
"Total","Sweden","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","22.5",""
"Total","Sweden","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","24.1",""
"Total","Sweden","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","32.2",""
"Total","Sweden","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","44.8",""
"Total","Sweden","Percentage","Limited","All ISCED 2011 levels ","2014","Females","65 years or over","68.8",""
"Total","Sweden","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","3.2",""
"Total","Sweden","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","3.1",""
"Total","Sweden","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","4.3",""
"Total","Sweden","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","7.4",""
"Total","Sweden","Percentage","Severe","All ISCED 2011 levels ","2014","Males","65 years or over","22.9",""
"Total","Sweden","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","2.8",""
"Total","Sweden","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","3.9",""
"Total","Sweden","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","5.2",""
"Total","Sweden","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","7.9",""
"Total","Sweden","Percentage","Severe","All ISCED 2011 levels ","2014","Females","65 years or over","27.2",""
"Total","Sweden","Percentage","None","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","81.0",""
"Total","Sweden","Percentage","None","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","77.5",""
"Total","Sweden","Percentage","None","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","73.7",""
"Total","Sweden","Percentage","None","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","56.8",""
"Total","Sweden","Percentage","None","All ISCED 2011 levels ","2014","Males","65 years or over","33.1",""
"Total","Sweden","Percentage","None","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","77.5",""
"Total","Sweden","Percentage","None","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","75.9",""
"Total","Sweden","Percentage","None","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","67.8",""
"Total","Sweden","Percentage","None","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","55.2",""
"Total","Sweden","Percentage","None","All ISCED 2011 levels ","2014","Females","65 years or over","31.2",""
"Total","United Kingdom","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","12.3",""
"Total","United Kingdom","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","14.1",""
"Total","United Kingdom","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","21.5",""
"Total","United Kingdom","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","31.4",""
"Total","United Kingdom","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","65 years or over","42.3",""
"Total","United Kingdom","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","17.2",""
"Total","United Kingdom","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","18.0",""
"Total","United Kingdom","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","21.3",""
"Total","United Kingdom","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","33.1",""
"Total","United Kingdom","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","65 years or over","36.8",""
"Total","United Kingdom","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","13.7",""
"Total","United Kingdom","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","17.2",""
"Total","United Kingdom","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","26.5",""
"Total","United Kingdom","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","44.5",""
"Total","United Kingdom","Percentage","Limited","All ISCED 2011 levels ","2014","Males","65 years or over","67.4",""
"Total","United Kingdom","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","20.4",""
"Total","United Kingdom","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","23.1",""
"Total","United Kingdom","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","26.8",""
"Total","United Kingdom","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","46.4",""
"Total","United Kingdom","Percentage","Limited","All ISCED 2011 levels ","2014","Females","65 years or over","68.1",""
"Total","United Kingdom","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","1.5",""
"Total","United Kingdom","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","3.1",""
"Total","United Kingdom","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","5.0",""
"Total","United Kingdom","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","13.1",""
"Total","United Kingdom","Percentage","Severe","All ISCED 2011 levels ","2014","Males","65 years or over","25.1",""
"Total","United Kingdom","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","3.2",""
"Total","United Kingdom","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","5.1",""
"Total","United Kingdom","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","5.6",""
"Total","United Kingdom","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","13.3",""
"Total","United Kingdom","Percentage","Severe","All ISCED 2011 levels ","2014","Females","65 years or over","31.3",""
"Total","United Kingdom","Percentage","None","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","86.3",""
"Total","United Kingdom","Percentage","None","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","82.8",""
"Total","United Kingdom","Percentage","None","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","73.5",""
"Total","United Kingdom","Percentage","None","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","55.5",""
"Total","United Kingdom","Percentage","None","All ISCED 2011 levels ","2014","Males","65 years or over","32.6",""
"Total","United Kingdom","Percentage","None","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","79.6",""
"Total","United Kingdom","Percentage","None","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","76.9",""
"Total","United Kingdom","Percentage","None","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","73.2",""
"Total","United Kingdom","Percentage","None","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","53.6",""
"Total","United Kingdom","Percentage","None","All ISCED 2011 levels ","2014","Females","65 years or over","31.9",""
"Total","Iceland","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","29.0",""
"Total","Iceland","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","29.3",""
"Total","Iceland","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","26.5",""
"Total","Iceland","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","34.3",""
"Total","Iceland","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","65 years or over","48.0",""
"Total","Iceland","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","35.3",""
"Total","Iceland","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","27.1",""
"Total","Iceland","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","28.8",""
"Total","Iceland","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","40.5",""
"Total","Iceland","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","65 years or over","43.9",""
"Total","Iceland","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","31.6",""
"Total","Iceland","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","30.4",""
"Total","Iceland","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","30.3",""
"Total","Iceland","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","40.1",""
"Total","Iceland","Percentage","Limited","All ISCED 2011 levels ","2014","Males","65 years or over","66.6",""
"Total","Iceland","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","37.1",""
"Total","Iceland","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","30.4",""
"Total","Iceland","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","31.9",""
"Total","Iceland","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","50.4",""
